,City,Company,Contact Name,Contact No.,Pincode,State,Street Address
64,Kolkata,RAMKRISHNA UDYOG,Mr. lalit anand agarwal,(+91)3323373231			, 700003,West Bengal,"524-B, Rabindra Sarani,"
65,Kolkata,I. S. EARTH MOVERS,MR. MD. SHAHNAWAZ ISLAM,(+91)3324815699			, 700016,West Bengal,"75, ELLIOT ROAD,"
66,Kolkata,LMJ INTERNATIONAL LIMITED,"Mr. SAMIR  DHOSI, Mr Vinod  Agarwal",02692-235390			, 700016,West Bengal,"30, J.L. Nehru Road, C-Block, 2nd Floor, Room 15A,"
67,Kolkata,ATW SHOPIN,MR. RUPESH KUMAR SHAW,(+91)3322172388/2226			, 700036,West Bengal,"Manicktala Civic Centre, Ultadanga, Opp. VSNL Building, Uttarapan Market Complex, Ds-IV, Shop No.14, 1st Floor,"
68,Kolkata,AQUATHERM,mr Abhiprasun  Chattopadhyay,(+91)3325333171/72			, 700089,West Bengal,"16/1B, Keyatala Lane,"
69,Kolkata,CALCUTTA PRESSURE COOKERS,Mr. SHASHI  KAPUR,(+91)3322810794/2280			, 700038,West Bengal,"6, BUROSHIVTALLA MAIN ROAD, BEHALA,"
70,Kolkata,SIKA INDIA PVT. LTD.,"Dr, Madhu Sudan Modak, Mr. SAMIK  DUTTA, Mr. ABHIJ",(+91)3325565605			, 700034,West Bengal,"COMMERCIAL COMPLEX II, 620, DIAMOND HARBOUR ROAD,"
71,Kolkata,ESSAE DIGITRONICS PRIVATE LIMITED,"Mr. SUMANTA  SINGHA, Mr. BUDDHADEB  BANERJEE",(+91)3325303856			, 700026,West Bengal,"MERLIN LINKS, 166-B, 1ST FLOOR, S.P.MUKHERJEE ROAD,"
72,Kolkata,LEVCON INSTRUMENTS PVT. LTD.,"Mr. Shayak  Gupta, Mr. SUBHRAJIT  CHOUDHARY",(+91)3322299237			, 700017,West Bengal,"RAJKAMAL BUILDING, 13, CAMAC STREET, 6TH FLOOR,"
73,Kolkata,JAMES SCALES & ENGINEERING CO.,Mr. R  NANDY Bhattacharya,(+91)3322172893/97			, 700001,West Bengal,"19, R.N. MUKHERJEE ROAD,"
74,Kolkata,ASIAN SCALES & ENGG. CORPORATION,Mr. Kanak Basu Mallick,(+91)3332955529			, 700001,West Bengal,"1/1A, VANSITTART ROW, 1ST FLOOR,"
75,Kolkata,ADAIR DUTT & CO. INDIA PVT. LTD.,Mr. Pinaki Roy Choudhury,(+91)3324645669			, 700001,West Bengal,"2, B.B.D. BAGH EAST, POWER TOOLS BHAWAN,"
76,Kolkata,ALIF INTERNATIONAL,Mr. M.  Zakir,(+91)3330903583			, 700001,West Bengal,"75, N.S. Road,"
77,Kolkata,AMSU ENGINEERING PVT.LTD.,MR. SOMESH  PATRA,02692-235390			, 700075,West Bengal,"18/1, KALIBARI ROAD, SANTOSHPUR,"
78,Kolkata,DIGITAL CARE,"Mr. Indi  Adhikari, Mr. sujay   das",(+91)3324466594/6958			, 700075,West Bengal,"18, South Avenue, Modern Park, Santoshpur,"
79,Kolkata,COSMOS ENTERPRISE,Mr. Surjit  Singh Sokhi,(+91)3324656572			, 700053,West Bengal,"18/7, Sahapur Colony W, 2nd flr, Plot No: 191, New Alipore,"
80,Kolkata,SCHENCK JENSON & NICHOLSON LTD.,Mr. Anup  Biswas,(+91)3322832764/66/2			, 700019,West Bengal,"FLAT NO. 8, 3RD FLOOR, 26/3 BALLYGUNGE CIRCULAR ROAD,"
81,Kolkata,SHREE GOPAL INTERNATIONAL,Mr ashis  sinha,(+91)3322104012/2248			, 700074,West Bengal,"19/2/1, Babutala road,"
82,Kolkata,TULSI TRADING COMPANY,MR. S. K. KEJRIWAL,(+91)3322486258/7342			, 700001,West Bengal,"33/1, NETAJI SUBHAS RD., ROOM NO. 807,"
83,Kolkata,TYCO INDIA PVT. LTD.,Mr. Abhijit Sen,(+91)3322488781/8782			, 700014,West Bengal,"6C, RAMESHWAR SHAW ROAD,"
84,Kolkata,MR INTERNATIONAL,Mr. manimoy  sarkar,(+91)3322103190			, 700075,West Bengal,"18-A, East Road, Santoshpur,"
85,Kolkata,MRI INTERNATIONAL,Mr. Manimoy  Sarkar,(+91)3324837531			, 700075,West Bengal,"18-A, East Road, Santoshpur,"
